brand,category,description,details,finition,image_urls,sku,stock,title,type,url,variure
MERMIER,,"
","{'Article:': 'Verrou à douille HR', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--z-e1c3kQ--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263245_.jpeg",392690,Aucun magasin sélectionné,Verrou à douille HR réglable N+2 16 x 300 mm plaque étroite bichromaté MERMIER M-455303,,https://www.afdb.fr/mermier-verrou-douille-mermier-renforce-visser-45_SKUM39239.html,
FAAC COMUNELLO,,"
","{'Modèle:': '1 sortie de tringle', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--WyzxL0c9--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_255699_.jpeg",384466,Aucun magasin sélectionné,Verrou à encastrer 20 mm 1 sortie M8 COMUNELLO 705-20,,https://www.afdb.fr/faac-comunello-verrou-entailler-comunello-bascule_SKUM5741.html,
MAP,,"
",{'Modèle:': 'à onglet'},,"https://res.cloudinary.com/afdb/image/upload/s--oQh5Ucv8--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_30878__.jpeg",394217,Aucun magasin sélectionné,Verrou de condamnation à entailler aluminium longueur 225 mm boitier 14 x 10 mm argent MAP MAP-164225,,https://www.afdb.fr/map-verrou-condamnation-map-entailler-aluminium-longueur-225-mm-boitier-14x10-mm-164_SKUM31558.html,
COMUNELLO,,"
","{'Longueur:': '15,5 mm'}",,"https://res.cloudinary.com/afdb/image/upload/s---lGpsUuH--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_253242_.jpeg",501016,Aucun magasin sélectionné,"Verrou à levier pour porte métal de longueur 15,5 mm COMUNELLO 705-24",,https://www.afdb.fr/comunello-verrou-levier-comunello-porte-metal-705-24_SKUM95311.html,
HERCULE,,"
",{'Modèle:': 'Jeu de supports'},,"https://res.cloudinary.com/afdb/image/upload/s--Wz0DE0gj--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_217865_.jpeg",075381,Indisponible,Jeu de supports pour barre de sécurité HERCULE 4461,,https://www.afdb.fr/hercule-jeu-supports-barre-securite-hercule-4461_SKUM70810.html,
HERCULE,,"
",{'Modèle:': '4401'},,"https://res.cloudinary.com/afdb/image/upload/s--beVlLFw9--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263093_.jpeg",075373,Aucun magasin sélectionné,Barre volets fléaux 450 mm blocage automatique HERCULE 4401,,https://www.afdb.fr/hercule-barre-securite-hercule-1-articulation-fleaux-450-mm-blocage-automatique-4401_SKUM5782.html,
TORBEL,,"
",{'Matière:': 'aluminium'},,"https://res.cloudinary.com/afdb/image/upload/s--UX_w06mY--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_262492_.jpeg",599225,Aucun magasin sélectionné,Dardenne aluminium large noir 63 x 4 mm TORBEL 07PAK2J,,https://www.afdb.fr/torbel-dardenne-torbel-large-aluminium-noir-63-x-4-mm-07pak2j_SKUM41412.html,
HERCULE,,"
",{'Modèle:': '4442'},,"https://res.cloudinary.com/afdb/image/upload/s--6d4UHoAJ--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_219693_.jpeg",209577,Aucun magasin sélectionné,"Barre de securité à boutons 1,50 m HERCULE 4442",,https://www.afdb.fr/hercule-barre-securite-boutons-hercule-acier-bichromate-444_SKUM5781.html,
HERCULE,,"
",{'Modèle:': '4420'},,"https://res.cloudinary.com/afdb/image/upload/s--3BfThYmS--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_5972___.jpeg",075372,Aucun magasin sélectionné,Barre de sécurité à poignée acier bichromaté longueur 460mm + supports - HERCULE – 4420,,https://www.afdb.fr/hercule-barre-securite-poignee-acier-bichromate-hercule_SKUM5780.html,
TORBEL,,"
","{'Longueur:': '300 mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--WuEgk5ay--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_224748_.jpeg",589608,Aucun magasin sélectionné,Crochet alu noir 300 mm TORBEL 924D30J,,https://www.afdb.fr/torbel-crochet-contrevent-torbel-aluminium-noir-924d_SKUM27008.html,
